precinct,Name,n/a,n/a,1D88D3F7-F555-4343-A4A6-481B7F4D5B55,n/a,16C9B17C-7CFF-4F13-9D84-687326F60D38,F901FF06-DDAC-4784-812F-46EC012086C2,A869A967-3995-40D1-BF38-D3D6B5BDCE9B,n/a,FAF3F964-ED31-405C-B894-FFE28FFB5A69,n/a,4B32F748-1155-4BB5-B293-C4CA431F3530,DCD861B8-C3AB-4B9D-8A71-B68CCA0A23B2,84522EF1-9E2D-4037-8FDA-0D9D906E7F6D,E57E94DE-0BDE-4C5C-A75C-6510F9DEB412,D2DC06A2-1437-4CBC-8AD2-898893D1B6B9
18,Heather Cooke,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
18,John Donato,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
18,William Ford,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No Verbally,Yes,Yes,Yes,Yes,Yes
18,Jon Gersh,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Abstain,No,Yes,Yes,Yes,No,Yes
18,Jeffrey Hadden,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
18,Gilbert Irizarry,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
18,David Levy,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
18,Daniel Parmer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
18,Carolyn Parsons,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
18,Michael Watson,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
19,Melanie Brown,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
19,Deborah Butler,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Abstain,Yes,Yes
19,Dganit Cohen,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
19,Neva Corbo-Hudek,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain,Abstain,Abstain,Yes
19,Elaine Crowder,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Abstain,No,Yes
19,Christine Deshler,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No
19,Michelle Durocher,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
19,Claire Johnson,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
19,Flynn Monks,Yes,Yes,Yes,No,Yes,Abstain,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
19,James O'Conor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
19,Jonathan Rabinowitz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain,Abstain,Abstain,Yes
19,Edward Trembly,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No
20,Dean Carman,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
20,Curtis Connors,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
20,Samantha Dutra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,
20,Peter Fuller,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
20,Maureen Gormley,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
20,Camilla Haase,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
20,Leonard Kardon,Yes,,,,,,,No,Yes,Yes,No,No,No,Yes,Yes
20,Michaela May,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
20,Patricia Muldoon,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
20,Kristin Pennarun,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
20,Katharine Radville,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Robert Tosi,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
21,Beth Benedikt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
21,Susan Doctrow,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
21,Daniel Dunn,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Abstain,Yes
21,Anne Ehlert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,No,Yes
21,Pamela Hallett,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes Verbally,Yes,Yes,No,No,No,No,Yes
21,Lori Leahy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Abstain,No
21,Leslie Mayer,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Zarina Memon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Abstain,Yes,Yes
21,Christopher Rowell,Yes,Yes,No,Abstain,No,No,No,Yes,Yes,No,No,No,Yes,No,No
21,Janice Weber,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No Verbally,No,,Yes,Yes
21,Jordan Weinstein,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
21,David White,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
