precinct,Name,n/a,n/a,1D88D3F7-F555-4343-A4A6-481B7F4D5B55,n/a,16C9B17C-7CFF-4F13-9D84-687326F60D38,F901FF06-DDAC-4784-812F-46EC012086C2,A869A967-3995-40D1-BF38-D3D6B5BDCE9B,n/a,FAF3F964-ED31-405C-B894-FFE28FFB5A69,n/a,4B32F748-1155-4BB5-B293-C4CA431F3530,DCD861B8-C3AB-4B9D-8A71-B68CCA0A23B2,84522EF1-9E2D-4037-8FDA-0D9D906E7F6D,E57E94DE-0BDE-4C5C-A75C-6510F9DEB412,D2DC06A2-1437-4CBC-8AD2-898893D1B6B9
4,Ethan Zimmer,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5,Adam Badik,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5,Jason Donnelly,,,,,,,,,,,,,,,
5,Catherine Farrell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5,Patrick Hanlon,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5,Christa Kelleher,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5,Karen Kelleher,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5,Lauren Ledger,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5,Katherine Mayers,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
5,Brian McMurray,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5,Christine Michael,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5,David Swanson,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5,Peter Thompson,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
6,James Ballin,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
6,Charles Blandy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
6,Mara Collins,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
6,Andrew Fischer,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
6,Daniel Jalkut,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
6,Adele Kraus,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally,Abstain Verbally,Abstain Verbally,No Verbally,Yes Verbally,Yes Verbally
6,George McNinch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
6,Theodore Peluso,Yes,Yes,Yes,,,,,,,,,,,,
6,Lisa Reynolds,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
6,Jill Snyder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
6,Laura Tracey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
6,Lesley Waxman,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
7,Alexander Bagnall,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
7,Sheri Baron,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No
7,Phil Goff,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
7,Roderick Holland,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
7,Mary Malek-Odom,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
7,Catherine McParland,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
7,Thomas Michelman,Yes,Yes,Yes,Yes,Yes,Abstain,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
7,Lisa Pedulla,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
7,Laurence Slotnick,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,,,
7,Betty Stone,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
7,Timur Yontar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
7,Rebecca Younkin,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
8,Carol Band,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,,
8,William Berkowitz,Yes,Yes,Yes,No,Yes,Yes,Yes Verbally,No,Yes,No,Yes,Yes,Yes,Yes,Yes
8,Elizabeth Dray,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
8,Charles Foskett,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes
8,Irwin Grossman,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
8,Sharon Grossman,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
8,Scott Lever,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
8,Joshua Lobel,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes
8,Sophie Migliazzo,Yes,No,No,No,No,No,Abstain,No,Yes,No,Yes,Yes,Yes,Abstain,Yes
8,Brian Rehrig,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
8,John Worden,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Abstain
8,Patricia Worden,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Abstain
9,Lisa Blankespoor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
9,Barbara Boltz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Abstain,Yes,Yes
9,Brian Hasbrouck,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
9,Steven Liggett,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Abstain,No,No,Abstain,Yes
9,Mona Mandal,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Abstain,Abstain,Yes
9,Susan McCabe,Yes,Yes,Yes,No,Yes,Yes Verbally,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
9,Beth Melofchik,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
9,Jo Anne Preston,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,,,
9,Michael Ruderman,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
9,Paul Schlichtman,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
9,Susan Stewart,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
9,Rieko Tanaka,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
10,Barbara Costa,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes
10,Danuta Forbes,Abstain,Yes,Yes,No,Yes,Yes,Yes,Yes Verbally,Yes,Yes,No,Abstain,No,Yes,Yes
10,Jane Howard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
10,Peter Howard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
10,Christian Klein,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
10,Charlotte Milan,Yes,Yes,Yes,Yes,Yes,No,Abstain,Yes,Yes,Yes,No,No,No,Yes,Yes
10,Sanjay Newton,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
10,Elizabeth Pyle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
10,Michael Quinn,Abstain,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Abstain
10,Christopher Rohter,,,,,,,,,,,,,,,
10,Mustafa Varoglu,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
10,Donna Wren,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Mary Ellen Bilafer,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Christine Carney,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
11,Lynette Culverhouse,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
11,Meredith DiMola,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Ian Goodsell,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
11,Christopher Heigham,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Leba Heigham,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Judson Pierce,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
11,Joyce Radochia,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
11,Matthew Reck,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Carroll Schwartz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Paulette Schwartz,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Benjamin Ames,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Lisa Bielefeld,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
12,Juliana Brazile,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Larry Dieringer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes
12,James DiTullio,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Eric Helmuth,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Gordon Jamieson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes,Yes,No,No,No,Yes,Yes
12,Robert Jefferson,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
12,Caroline Murray,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Helene Newberg,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
