precinct,name,3FE6C2C4-E9A9-47C5-A501-C1A1B6D375F1,677FE63A-EE90-4D5E-9A6D-C1A5AA59863A,1C10B7B9-0F5D-4F3C-B202-D38255144435,33E3472F-ED82-4471-99C4-1E180B6C016B
11,Christine Carney,Yes,Yes,Yes,Yes
11,Lynette Culverhouse,Yes Verbally,Yes,No,Abstain
11,Meredith DiMola,Yes,Yes,Yes,Yes
11,Ian Goodsell,Yes,Yes,Yes,Yes
11,Christopher Heigham,Yes,Yes,Yes,Yes
11,Leba Heigham,Yes,Yes,Yes,Yes
11,Judson Pierce,Yes,Yes,Yes,Yes
11,Joyce Radochia,Yes,Yes,Yes,Yes
11,Matthew Reck,Yes,Yes,Yes,Yes
11,Carroll Schwartz,Yes,Yes,Yes,Yes
11,Paulette Schwartz,Yes,Yes,Yes,Yes
12,Benjamin Ames,Yes,Yes,No,Yes
12,Lisa Bielefeld,Yes,Yes,Yes,Yes
12,Juliana Brazile,Yes,Yes,Yes,Yes
12,Larry Dieringer,Yes,Yes,No,Yes
12,James DiTullio,Yes,Yes,Yes,Yes
12,Eric Helmuth,Yes,Yes,Yes,Yes
12,Gordon Jamieson,Yes,Yes,Yes,Yes
12,Robert Jefferson,Yes,Yes,Yes,Yes
12,Caroline Murray,Yes,Yes,Yes,Yes
12,Helene Newberg,Yes,Yes,Abstain,Yes
12,Jeffrey Thielman,Yes,Yes,Yes,Yes
12,Sanjay Vakil,Yes,Yes,No,Yes
13,Kristin Anderson,Yes,Yes,No,Yes
13,Lynn Bishop,Yes,Yes,Yes,Yes
13,Michael Byrne,Yes,Yes,Yes,Yes
13,John Deyst,Yes,Yes,Yes,Yes
13,Mary Deyst,Yes,Yes,Yes,Yes
13,DeAnne Dupont,Yes,Yes,Yes,Yes
13,Laura Fuller,Yes,Yes,Yes,Yes
13,David Good,Yes,Yes,Yes,Yes
13,Zachary Grunko,Yes,Yes,No,Yes
13,Marie Krepelka,Yes Verbally,Yes Verbally,Abstain Verbally,Yes Verbally
13,Lee Poage,Yes,Yes,Yes,Yes
13,Priya Sankalia,Yes,Yes,Yes,Yes
14,Elisabeth Carr-Jones,Yes,Yes,Yes,Yes
14,Richard Gallagher,Yes,Yes,Yes,Yes
14,Amy Goldstein,Yes,Yes,Yes,Yes
14,Guillermo Hamlin,Yes,Yes,Yes,
14,Michaiah Healy,Yes,Yes,Abstain,Yes
14,Alan Jones,Yes,Yes,Yes,Yes
14,Diane Mahon,Yes,Yes,Yes,Yes
14,Christopher Moore,Yes,Yes,No,Yes
14,Brendan O'Day,Yes,Yes,Yes,Yes
14,Adam Pachter,Yes,Yes,Yes,Yes
14,Michael Stern,Yes,Yes,Yes,No
14,Joseph Tully,Yes,Yes,Yes,Yes
15,Kirsi Allison-Ampe,Yes,Yes,Yes,Yes
15,Gregory Christiana,Yes,Yes,Yes,Yes
15,Frank Ciano,Yes,Yes,Yes,Yes
15,Joseph Curro,Yes,Yes,Yes,Yes
15,Rachelle Dobbs,Yes,Yes,No,Yes
15,Elizabeth Exton,Yes,Yes,No,Yes
15,Beth Ann Friedman,Yes,Yes,Yes,Yes
15,Naomi Greenfield,Yes,Yes,Yes,Yes
15,Annie LaCourt,Yes,Yes,No,Yes
15,Nancy Mara,Yes,Yes,Yes,Yes
15,Jane Morgan,Yes,Yes,No,Yes
15,Amy Speare,Yes,Yes,Yes,Yes
16,Lauren Boyle,Yes,Yes,Yes,Yes
16,Holly Czapski,Yes,Yes,No,Yes
16,Chris DiMeo,Yes,Yes,No,Yes
16,Deanna Graham,Yes,Yes,No,Yes
16,Brooks Harrelson,Yes,Yes,Yes,Yes
16,Kevin Koch,Yes,Yes,Yes,Yes
16,Marvin Lewiton,Yes,Yes,No,Yes
16,Carol Luddecke,Yes,Yes,Yes,Yes
16,Sandra Mostajo,Yes,Yes,No,Yes
16,Allen Reedy,Yes,Yes,Yes,Yes
16,Barbara Thornton,Yes,Yes,Yes,Yes
16,John Weiss,Yes,Yes,Yes,Yes
17,Joshua Arnold,Yes,Yes,No,Abstain
17,Michael Brown,Yes,Yes,No,Yes
17,Sarah Burks,Yes,Yes,Yes,Yes
17,John Finochetti,,,,
17,Ann Fitzgerald,Yes,Yes,Yes,Yes
17,Laura Gitelson,Yes,Yes,No,Yes
17,John Leonard,No Verbally,Abstain Verbally,Yes Verbally,No Verbally
17,Ann LeRoyer,Yes,Yes,Yes,Yes
17,Angela Olszewski,Yes,Yes,Yes,Yes
17,Amy Slutzky,Yes,Yes,Yes,Yes
17,Allan Tosti,Yes,Yes,Yes,Yes
17,Susan Webber,Yes,Yes,Yes,Yes
18,Nancy Bloom,Yes,Yes,No,Yes
18,Shirley Canniff,Yes,No,Yes,Yes
18,Heather Cooke,Yes,Yes,Yes,Yes
18,John Donato,Yes,Yes,Yes,Yes
18,William Ford,Yes,Yes,Yes,Yes
