precinct,name,D4FB9490-1894-4FDA-8B56-7F4F3ED9B091,644C66DB-A941-4A6B-84E8-F6BC74C141C9,9CDF26E3-3012-4632-8C7B-C1456DDF3064,99BD0065-026B-4EA4-B088-501D2FC573E1,A62D6806-BC94-4561-A4B0-64452E37D193,509E1F9B-270D-4409-B7F1-8A0487C52CF1,EB8CB5C3-1BB2-4E6C-85D3-13194B72280A,34EBB1ED-214E-4930-A9FA-DA40D22EAF55,86436A87-85C4-4462-8155-61ED1422AF89
6,Jill Snyder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Laura Tracey,No,No,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
6,Lesley Waxman,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Alexander Bagnall,No,No,Abstain,Abstain,Yes,Yes,Yes,Yes,Yes
7,Sheri Baron,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Abstain
7,Phil Goff,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Roderick Holland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Mary Malek-Odom,Yes,Yes,Yes Verbally,Yes Verbally,No,Yes,Yes,Yes,Yes
7,Catherine McParland,No,No,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
7,Thomas Michelman,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
7,Lisa Pedulla,No,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
7,Laurence Slotnick,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
7,Betty Stone,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Timur Yontar,Yes,Yes,Abstain,Abstain,Yes,Yes,Abstain,No,Yes
7,Rebecca Younkin,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Abstain
8,Carol Band,Yes Verbally,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,William Berkowitz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Elizabeth Dray,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Charles Foskett,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
8,Irwin Grossman,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
8,Sharon Grossman,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Scott Lever,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
8,Joshua Lobel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Sophie Migliazzo,Yes,Yes,Yes,Yes,No,Abstain,Yes,Yes,Abstain
8,Brian Rehrig,No,No,Yes,Yes,Yes,Yes,Yes,No,No
8,John Worden,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
8,Patricia Worden,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
9,Lisa Blankespoor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Barbara Boltz,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
9,Brian Hasbrouck,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,No
9,Steven Liggett,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Mona Mandal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Susan McCabe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Beth Melofchik,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Jo Anne Preston,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
9,Michael Ruderman,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes
9,Paul Schlichtman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
9,Susan Stewart,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
