Precinct,Name,n/a,n/a,D4225B2A-4451-41C8-8F51-1FC6E6CF754D,n/a,222072C0-5577-4FCF-A436-42FBD22B8480,A2594459-C799-4660-8A04-D074587BE1B6,44E061A4-CEA7-4860-BC83-0FE44334EC3A,n/a,
7,Alexander Bagnall,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
7,Sheri Baron,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Phil Goff,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
7,Roderick Holland,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
7,Mary Malek-Odom,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,
7,Catherine McParland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
7,Thomas Michelman,Yes,Yes,Yes,Yes,Abstain,Abstain,Abstain,Yes,Yes
7,Lisa Pedulla,Yes,Yes,Yes,Yes,No,No,No,Yes,No
7,Laurence Slotnick,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
7,Betty Stone,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
7,Timur Yontar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
7,Rebecca Younkin,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
8,Carol Band,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
8,William Berkowitz,Yes,Yes,Yes,Yes Verbally,No Verbally,,,Yes,Yes
8,Elizabeth Dray,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
8,Charles Foskett,Yes,Yes,Yes,Yes,No,No,No,Yes,No
8,Irwin Grossman,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
8,Sharon Grossman,Yes,Yes,Yes,Yes,No,No,No,Yes,No
8,Scott Lever,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Joshua Lobel,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
8,Sophie Migliazzo,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
8,Brian Rehrig,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
8,John Worden,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
8,Patricia Worden,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
9,Lisa Blankespoor,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
9,Barbara Boltz,,Yes Verbally,Yes Verbally,Yes,Yes,Yes,Yes,Yes,Yes
9,Brian Hasbrouck,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
9,Steven Liggett,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Mona Mandal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain
9,Susan McCabe,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Beth Melofchik,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
9,Jo Anne Preston,Yes,Yes,,,,,Yes,Yes,Yes
9,Michael Ruderman,Yes,Yes,Yes,,Yes,No,Yes,Yes,No
9,Paul Schlichtman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Susan Stewart,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
9,Rieko Tanaka,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Barbara Costa,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
10,Danuta Forbes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
10,Jane Howard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
10,Peter Howard,,,,Yes,Yes,Yes,Yes,Yes,No
10,Christian Klein,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes
10,Charlotte Milan,Yes,Yes,Yes,Yes,Yes,Abstain,Yes,Yes,Yes
10,Sanjay Newton,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
10,Elizabeth Pyle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
10,Michael Quinn,Abstain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Christopher Rohter,,,,,,,,,
10,Mustafa Varoglu,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
10,Donna Wren,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
11,Mary Ellen Bilafer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
11,Christine Carney,Yes,Yes,Yes,Yes,No,No,No,Yes,No
11,Lynette Culverhouse,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
11,Meredith DiMola,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Ian Goodsell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
11,Christopher Heigham,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
11,Leba Heigham,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
11,Judson Pierce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
11,Joyce Radochia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Matthew Reck,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
11,Carroll Schwartz,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
11,Paulette Schwartz,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
12,Benjamin Ames,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
12,Lisa Bielefeld,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
12,Juliana Brazile,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
12,Larry Dieringer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,James DiTullio,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
12,Eric Helmuth,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Gordon Jamieson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Robert Jefferson,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
12,Caroline Murray,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
12,Helene Newberg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Jeffrey Thielman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Sanjay Vakil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Kristin Anderson,Yes,Abstain,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Lynn Bishop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Michael Byrne,Yes,Yes Verbally,Yes,Yes,Yes,No,No,Yes,No
13,John Deyst,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
13,Mary Deyst,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,DeAnne Dupont,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
13,Laura Fuller,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,David Good,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
13,Zachary Grunko,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
13,Marie Krepelka,Yes Verbally,Yes Verbally,Yes Verbally,,,,Yes Verbally,,
13,Lee Poage,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
13,Priya Sankalia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Elisabeth Carr-Jones,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
14,Richard Gallagher,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
14,Amy Goldstein,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
14,Guillermo Hamlin,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
14,Michaiah Healy,Yes,Yes,Yes,Yes,Yes,Abstain,No,Yes,Yes
14,Alan Jones,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
14,Diane Mahon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
14,Christopher Moore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Brendan O'Day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Adam Pachter,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No
14,Michael Stern,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Joseph Tully,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
15,Kirsi Allison-Ampe,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
